기간,자치구,동,계,계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
기간,자치구,동,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
2017,중랑구,면목본동,51,37,-,-,-,-,25,37,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,12,-,-,-
2017,중랑구,면목3.8동,36,352,1,324,-,-,19,28,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,4,-,-,-
2017,중랑구,망우본동,67,793,1,102,4,370,32,122,-,-,-,-,-,-,-,1,199,-,-,19,-,-,-,10,-,-,-
2017,성북구,소계,525,"3,126",1,"1,051",6,471,245,451,1,5,919,1,233,-,-,-,-,1,-,150,-,-,-,115,1,-,-
2017,성북구,돈암1동,14,94,-,-,-,-,8,94,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,2,-,-,-
2017,성북구,돈암2동,8,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,2,-,-,-
2017,성북구,안암동,14,"1,145",1,"1,051",1,94,4,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,2,-,-,-
2017,성북구,보문동,21,380,-,-,-,-,7,29,-,2,351,-,-,-,-,-,-,-,-,6,-,-,-,6,-,-,-
2017,성북구,정릉1동,29,214,-,-,-,-,20,19,-,1,195,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,-
2017,성북구,정릉2동,18,235,-,-,-,-,6,2,-,-,-,1,233,-,-,-,-,-,-,5,-,-,-,6,-,-,-
2017,성북구,정릉3동,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
2017,성북구,정릉4동,20,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,5,-,-,-
2017,성북구,길음1동,48,11,-,-,-,-,20,11,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,8,-,-,-
2017,성북구,길음2동,18,250,-,-,1,97,9,2,-,1,151,-,-,-,-,-,-,-,-,3,-,-,-,4,-,-,-
2017,성북구,월곡1동,36,49,-,-,-,-,18,49,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,11,-,-,-
2017,성북구,월곡2동,30,77,-,-,1,72,9,5,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,7,-,-,-
2017,성북구,장위1동,20,33,-,-,-,-,11,33,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-
2017,성북구,장위2동,17,223,-,-,-,-,6,1,-,1,222,-,-,-,-,-,-,-,-,5,-,-,-,5,-,-,-
2017,성북구,장위3동,7,45,-,-,1,30,6,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,성북구,성북동,30,11,-,-,-,-,16,11,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,6,-,-,-
2017,성북구,삼선동,52,60,-,-,-,-,29,59,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,12,1,-,-
2017,성북구,동선동,60,70,-,-,1,58,31,12,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,10,-,-,-
2017,성북구,종암동,44,178,-,-,1,120,18,58,1,-,-,-,-,-,-,-,-,1,-,12,-,-,-,11,-,-,-
2017,성북구,석관동,35,51,-,-,-,-,15,51,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,9,-,-,-
2017,강북구,소계,447,"2,040",1,203,8,802,221,403,-,3,447,2,148,-,-,-,-,1,-,118,1,-,-,93,36,-,-
2017,강북구,번1동,46,403,-,-,1,131,24,31,-,1,142,1,99,-,-,-,-,1,-,11,-,-,-,7,-,-,-
2017,강북구,번2동,11,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,4,-,-,-
2017,강북구,번3동,17,5,-,-,-,-,8,5,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,5,-,-,-
2017,강북구,수유1동,27,54,-,-,-,-,14,54,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
2017,강북구,수유2동,23,39,-,-,-,-,11,39,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,5,-,-,-
2017,강북구,수유3동,69,109,-,-,1,83,35,25,-,-,-,-,-,-,-,-,-,-,-,21,1,-,-,12,-,-,-
2017,강북구,삼양동,40,83,-,-,-,-,22,83,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,10,-,-,-
2017,강북구,미아동,67,456,-,-,3,181,29,86,-,1,153,-,-,-,-,-,-,-,-,17,-,-,-,17,36,-,-
